"","median","upper","lower","TL"
"1",20.0682670999297,22.1417590256186,18.0572456856034,9
"2",22.2814277461023,24.4693173548363,20.1317017826802,10.7586206896552
"3",24.7321918306336,26.9851564037561,22.48323039938,12.5172413793103
"4",27.4652485379857,29.7978643628152,25.0839292018681,14.2758620689655
"5",30.510084639976,32.9446656410228,28.03262876836,16.0344827586207
"6",33.8750568889567,36.3876887365189,31.2986407880186,17.7931034482759
"7",37.5878093793233,40.1779852568802,34.9152863789686,19.551724137931
"8",41.7150441381519,44.477715062441,38.9523738770592,21.3103448275862
"9",46.2964672828806,49.1818896977013,43.4298022777691,23.0689655172414
"10",51.3877607183587,54.3792244116152,48.42489149519,24.8275862068966
"11",57.0815122207901,60.2384370280366,53.9762221715805,26.5862068965517
"12",63.3695872563656,66.7161607232812,60.1714769838094,28.3448275862069
"13",70.3407692859226,73.9733759885844,66.9414603768269,30.1034482758621
"14",78.0563123284378,82.0280358664068,74.5658180758546,31.8620689655172
"15",86.6829632189398,90.9537123749506,82.8757711383212,33.6206896551724
"16",96.1954321084148,100.852073857323,91.9907979468576,35.3793103448276
"17",106.810151603576,112.104252933807,102.280389983003,37.1379310344828
"18",118.646111081194,124.477153885235,113.40930959714,38.8965517241379
"19",131.733980226543,138.200400676705,125.626777339552,40.6551724137931
"20",146.371675828768,153.428046646842,138.900917583147,42.4137931034483
"21",162.630431996074,170.470777895321,153.770365515824,44.1724137931034
"22",180.631517192356,189.92099103984,170.505648022324,45.9310344827586
"23",200.647117565953,211.662820480798,188.347047040272,47.6896551724138
"24",222.825773837636,236.132249670388,208.531846480096,49.448275862069
"25",247.371537965378,263.640667750493,231.002845556214,51.2068965517241
"26",274.767254352374,293.881144384249,255.60190147498,52.9655172413793
"27",304.99192422113,327.819240937686,283.124986160049,54.7241379310345
"28",338.584128654212,366.23733641055,313.417419690372,56.4827586206897
"29",375.781441163801,408.721705791585,345.917081739997,58.2413793103448
"30",417.340428682266,455.937272594637,382.177235449944,60
