"","median","upper","lower","class","preds","col"
"1",7.14164833876745,10.6896296551367,4.44356077445341,"Cetoscarus bicolor","Species","Cetoscarus"
"2",14.7246829274775,22.0181563976652,9.20090168418804,"Chlorurus sordidus","Species","Chlorurus"
"3",10.0231784477636,15.0987613501175,6.36097167515146,"Hipposcarus harid","Species","Hipposcarus"
"4",22.4063656802221,33.721921261463,14.2696206403453,"Scarus frenatus","Species","Scarus"
"5",30.6832246668346,45.9620916383971,19.523312149419,"Scarus niger","Species","Scarus"
"6",21.6067232025844,32.4453663345166,13.7040683760714,"Scarus psittacus","Species","Scarus"
"7",14.7429574281467,22.1084465918248,9.32687485700058,"Chlorurus capistratoides","Species","Chlorurus"
"8",9.61896820232176,14.4104758597746,6.07603316893594,"Chlorurus strongylocephalus","Species","Chlorurus"
"9",32.7967183203505,49.8449209071182,20.3118995347651,"Scarus prasiognathus","Species","Scarus"
"10",16.2067552139206,24.5715696803704,9.90689068195638,"Scarus rubroviolaceus","Species","Scarus"
"11",32.1493658861264,48.3482814244024,20.4126616613642,"Scarus scaber","Species","Scarus"
"12",21.0324037712188,31.5871466570321,13.5903658350644,"Scarus tricolor","Species","Scarus"
"13",45.590093066413,67.5512589710098,29.1310957740038,"Scarus viridifucatus","Species","Scarus"
"14",10.6621874694757,16.4178176891677,6.348512764695,"Chlorurus bleekeri","Species","Chlorurus"
"15",8.41853205923726,12.368953167862,5.18977251973489,"Chlorurus microrhinos","Species","Chlorurus"
"16",8.68103753837234,13.3027216960912,5.45307930978993,"Hipposcarus longiceps","Species","Hipposcarus"
"17",23.2585121456531,35.1029528928179,14.4463136847504,"Scarus altipinnis","Species","Scarus"
"18",13.161829174918,19.9138890948808,8.22340517185442,"Scarus chameleon","Species","Scarus"
"19",21.8707788474347,32.4783915095715,13.9116744536871,"Scarus dimidiatus","Species","Scarus"
"20",10.9640178930239,15.9745410441522,6.81226100225099,"Scarus flavipectoralis","Species","Scarus"
"21",18.6266240570398,28.0445067095899,12.0317598415885,"Scarus forsteni","Species","Scarus"
"22",12.8544569254231,20.1801731859692,7.82849700155476,"Scarus ghobban","Species","Scarus"
"23",39.9353462580381,59.3586693386412,24.1797065747915,"Scarus globiceps","Species","Scarus"
"24",20.8780505637733,30.9517709303941,13.6031095159701,"Scarus oviceps","Species","Scarus"
"25",19.3934653489734,28.4155990856861,12.1792814113945,"Scarus rivulatus","Species","Scarus"
"26",18.0946281806412,27.009223122673,11.3217129785181,"Scarus schlegeli","Species","Scarus"
"27",48.8635947278633,73.4630802892965,31.4661664334895,"Scarus spinus","Species","Scarus"
"28",9.01076462034753,19.1881900018446,3.72846912657739,"Cetoscarus","Genus","Cetoscarus"
"29",11.5292272960962,18.1863541097713,6.52626465844188,"Chlorurus","Genus","Chlorurus"
"30",9.79925731869707,18.8575497088649,4.80246483432965,"Hipposcarus","Genus","Hipposcarus"
"31",22.2333556568614,33.4007291588408,13.4891851746201,"Scarus","Genus","Scarus"
"32",12.2871021005079,27.3748926915476,5.12674250036334,"global.mean","global.mean",NA
