"","Mean","StdDev","lower 0.89","upper 0.89","n_eff","Rhat","FG"
"a",3.34583142163406,0.485350727127568,2.65491254482897,4.07987479722829,356.509722638787,0.999678590058961,"Cropping"
"scale",4.93660767096497,0.217419200172766,4.54623904065904,5.23917051675432,1500,0.999420208449185,"Cropping"
"sigmar",0.414017762565829,0.169362085666328,0.171667553168269,0.622409450437014,486.429805843647,1.00132110886702,"Cropping"
"sigmar2",0.452783913301827,0.336306831177301,0.00363694672928958,0.839207778187149,187.9309459701,1.02648076120997,"Cropping"
"sigmar3",0.372300937132808,0.513365422641091,0.00354033478696453,0.753300655830109,356.04952715308,1.00054809653233,"Cropping"
"a1",3.16064981290482,0.420040249916038,2.4909088427954,3.79435923827605,718.050476021465,0.999718552784253,"Scraping"
"B",-0.0279943295649005,0.00157902843177268,-0.0305039955413336,-0.0254873670699358,3500,0.999751997407827,"Scraping"
"scale1",1.62438461807569,0.0699235064569667,1.51174349812035,1.73306275426371,2707.78736329006,1.00001373805888,"Scraping"
"sigmar1",0.408271753608893,0.0660782601065549,0.302041651211928,0.501328011802881,1872.01080534674,0.999775328422783,"Scraping"
"sigmar21",0.649622117474442,0.40061554649309,0.184339279888967,1.08507491246952,829.619622625239,1.00433784365944,"Scraping"
"sigmar31",0.281637577757194,0.291142810022619,0.0486352522218651,0.532084262485636,737.100159456896,0.999974406591847,"Scraping"
"a2",2.45936966477354,0.0671572977559252,2.35412547129233,2.56755748083413,1182.32902950919,0.999717325400576,"Scraping.area"
"B1",0.0595747026217082,0.0016979998859381,0.056912492262272,0.0623284224612053,1218.94503797065,0.999719637378407,"Scraping.area"
"scale2",11.9444325268286,0.756869767906103,10.7371204556819,13.1356592097268,1052.38520883667,1.00032894348286,"Scraping.area"
